Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150907,13:49,7645.1,7646,7642,7642,7125,23874876,,,
NIFTY_F1,20150907,13:50,7642,7644.1,7640,7641.1,10825,23884400,,,
NIFTY_F1,20150907,13:51,7641,7647.35,7641,7645.55,4725,23884400,,,
NIFTY_F1,20150907,13:52,7645.5,7647.7,7645.5,7645.5,8625,23884400,,,
NIFTY_F1,20150907,13:53,7646.85,7647.8,7645,7646.45,6850,23882224,,,
NIFTY_F1,20150907,13:54,7646.45,7653,7646.45,7650.75,29275,23882224,,,
NIFTY_F1,20150907,13:55,7650,7654,7650,7652.7,20325,23882224,,,
NIFTY_F1,20150907,13:56,7652.9,7659.9,7652,7657,39625,23891576,,,
NIFTY_F1,20150907,13:57,7656.3,7657.25,7654,7655,24050,23891576,,,
NIFTY_F1,20150907,13:58,7655,7659.6,7655,7658.75,14800,23891576,,,
NIFTY_F1,20150907,13:59,7657.65,7660,7656.65,7657.05,16575,23899276,,,
NIFTY_F1,20150907,14:00,7657,7658,7652,7652,11750,23899276,,,
NIFTY_F1,20150907,14:01,7652,7653,7650.9,7651.2,10625,23899276,,,
NIFTY_F1,20150907,14:02,7651.15,7652.85,7649,7650.8,17650,23893024,,,
NIFTY_F1,20150907,14:03,7650.9,7650.9,7646.25,7646.25,10250,23893024,,,
NIFTY_F1,20150907,14:04,7646.5,7650.95,7646,7647.5,5575,23893024,,,
NIFTY_F1,20150907,14:05,7647.15,7650.6,7646.7,7650.5,19400,23900124,,,
NIFTY_F1,20150907,14:06,7650.6,7651.95,7647.05,7648,25225,23900124,,,
NIFTY_F1,20150907,14:07,7647.15,7648.95,7646.05,7647,10900,23900124,,,
NIFTY_F1,20150907,14:08,7646.6,7647,7642.5,7645.5,16575,23882500,,,
NIFTY_F1,20150907,14:09,7645.95,7649,7644.3,7647.35,10825,23882500,,,
NIFTY_F1,20150907,14:10,7648.8,7649.95,7646,7646,8600,23882500,,,
NIFTY_F1,20150907,14:11,7646.25,7648.95,7641.55,7641.55,11200,23883300,,,
NIFTY_F1,20150907,14:12,7640.5,7641.95,7637,7640.55,30650,23883300,,,
NIFTY_F1,20150907,14:13,7642,7642,7638.2,7639,28025,23883300,,,
NIFTY_F1,20150907,14:14,7638.95,7638.95,7631,7631.7,71350,23903750,,,
NIFTY_F1,20150907,14:15,7631,7633.6,7625.5,7633.6,86150,23903750,,,
NIFTY_F1,20150907,14:16,7630.65,7636.65,7630.65,7631.5,35550,23903750,,,
NIFTY_F1,20150907,14:17,7632,7635.8,7631.6,7635.8,21075,23901700,,,
NIFTY_F1,20150907,14:18,7635,7635,7629.1,7630,23600,23901700,,,
NIFTY_F1,20150907,14:19,7630.5,7632.95,7627,7632.3,52025,23901700,,,
NIFTY_F1,20150907,14:20,7631.55,7632.8,7627,7627,23100,23934576,,,
NIFTY_F1,20150907,14:21,7627,7633.4,7625.45,7631.35,33350,23934576,,,
NIFTY_F1,20150907,14:22,7631,7631,7625.05,7625.05,34225,23934576,,,
NIFTY_F1,20150907,14:23,7625,7625,7612.05,7621.9,209275,23934576,,,
NIFTY_F1,20150907,14:24,7621,7629,7620.95,7625.5,61600,23934576,,,
NIFTY_F1,20150907,14:25,7625.3,7628.75,7622.2,7622.9,31425,23934576,,,
NIFTY_F1,20150907,14:26,7623,7623.65,7616.25,7619.75,34050,23972150,,,
NIFTY_F1,20150907,14:27,7619,7620,7612.4,7613.45,59950,23972150,,,
NIFTY_F1,20150907,14:28,7614.05,7617.95,7611,7612.05,51575,23972150,,,
NIFTY_F1,20150907,14:29,7613,7619.75,7613,7618,27825,24003350,,,
